date,value
1999-01-31,22.6
1999-02-28,22.86
1999-03-31,24.18
1999-04-30,24.23
1999-05-31,24.44
1999-06-30,24.22
1999-07-31,24.19
1999-08-31,24.75
1999-09-30,25.08
1999-10-31,26.05
1999-11-30,26.42
1999-12-31,27.0
2000-01-31,28.55
2000-02-29,28.66
2000-03-31,28.46
2000-04-30,28.4
2000-05-31,28.25
2000-06-30,28.07
2000-07-31,27.8
2000-08-31,27.75
2000-09-30,27.75
2000-10-31,27.83
2000-11-30,27.85
2000-12-31,28.16
2001-01-31,28.37
2001-02-28,28.72
2001-03-31,28.74
2001-04-30,28.83
2001-05-31,29.09
2001-06-30,29.07
2001-07-31,29.27
2001-08-31,29.37
2001-09-30,29.39
2001-10-31,29.7
2001-11-30,29.9
2001-12-31,30.14
2002-01-31,30.69
2002-02-28,30.93
2002-03-31,31.12
2002-04-30,31.2
2002-05-31,31.31
2002-06-30,31.45
2002-07-31,31.44
2002-08-31,31.57
2002-09-30,31.64
2002-10-31,31.74
2002-11-30,31.84
2002-12-31,31.78
2003-01-31,31.82
2003-02-28,31.58
2003-03-31,31.38
2003-04-30,31.1
2003-05-31,30.71
2003-06-30,30.35
2003-07-31,30.26
2003-08-31,30.5
2003-09-30,30.61
2003-10-31,29.86
2003-11-30,29.74
2003-12-31,29.45
2004-01-31,28.49
2004-02-29,28.52
2004-03-31,28.49
2004-04-30,28.88
2004-05-31,28.99
2004-06-30,29.03
2004-07-31,29.1
2004-08-31,29.24
2004-09-30,29.22
2004-10-31,28.77
2004-11-30,28.24
2004-12-31,27.75
2005-01-31,28.08
2005-02-28,27.77
2005-03-31,27.83
2005-04-30,27.77
2005-05-31,28.09
2005-06-30,28.67
2005-07-31,28.63
2005-08-31,28.55
2005-09-30,28.5
2005-10-31,28.42
2005-11-30,28.73
2005-12-31,28.78
2006-01-31,28.12
2006-02-28,28.12
2006-03-31,27.76
2006-04-30,27.27
2006-05-31,26.98
2006-06-30,27.08
2006-07-31,26.87
2006-08-31,26.74
2006-09-30,26.78
2006-10-31,26.75
2006-11-30,26.31
2006-12-31,26.33
2007-01-31,26.53
2007-02-28,26.16
2007-03-31,26.01
2007-04-30,25.69
2007-05-31,25.9
2007-06-30,25.82
2007-07-31,25.6
2007-08-31,25.65
2007-09-30,24.95
2007-10-31,24.72
2007-11-30,24.35
2007-12-31,24.55
2008-01-31,24.48
2008-02-29,24.12
2008-03-31,23.52
2008-04-30,23.65
2008-05-31,23.74
2008-06-30,23.46
2008-07-31,23.45
2008-08-31,24.58
2008-09-30,25.25
2008-10-31,26.54
2008-11-30,27.61
2008-12-31,29.38
2009-01-31,35.41
2009-02-28,35.72
2009-03-31,34.01
2009-04-30,33.25
2009-05-31,30.98
2009-06-30,31.29
2009-07-31,31.76
2009-08-31,31.57
2009-09-30,30.09
2009-10-31,29.05
2009-11-30,29.82
2009-12-31,30.24
2010-01-31,30.43
2010-02-28,29.95
2010-03-31,29.36
2010-04-30,29.29
2010-05-31,30.5
2010-06-30,31.2
2010-07-31,30.19
2010-08-31,30.66
2010-09-30,30.4
2010-10-31,30.78
2010-11-30,31.31
2010-12-31,30.48
2011-01-31,29.67
2011-02-28,28.94
2011-03-31,28.43
2011-04-30,27.5
2011-05-31,28.07
2011-06-30,28.08
2011-07-31,27.68
2011-08-31,28.86
2011-09-30,31.88
2011-10-31,29.9
2011-11-30,31.32
2011-12-31,32.2
2012-01-31,30.36
2012-02-29,28.95
2012-03-31,29.33
2012-04-30,29.36
2012-05-31,32.45
2012-06-30,32.82
2012-07-31,32.19
2012-08-31,32.29
2012-09-30,30.92
2012-10-31,31.53
2012-11-30,31.06
2012-12-31,30.37
2013-01-31,30.03
2013-02-28,30.62
2013-03-31,31.08
2013-04-30,31.26
2013-05-31,31.59
2013-06-30,32.71
2013-07-31,32.89
2013-08-31,33.25
2013-09-30,32.35
2013-10-31,32.06
2013-11-30,33.19
2013-12-31,32.73
2014-01-31,35.24
2014-02-28,36.05
2014-03-31,35.69
2014-04-30,35.7
2014-05-31,34.74
2014-06-30,33.63
2014-07-31,35.73
2014-08-31,36.93
2014-09-30,39.39
2014-10-31,43.39
2014-11-30,49.32
2014-12-31,56.26
2015-01-31,68.93
2015-02-28,61.27
2015-03-31,58.46
2015-04-30,51.7
2015-05-31,52.97
2015-06-30,55.52
2015-07-31,58.99
2015-08-31,66.48
2015-09-30,66.24
2015-10-31,64.37
2015-11-30,66.24
2015-12-31,72.88
2016-01-31,75.17
2016-02-29,75.09
2016-03-31,67.61
2016-04-30,64.33
2016-05-31,66.08
2016-06-30,64.26
2016-07-31,67.05
2016-08-31,64.91
2016-09-30,63.16
2016-10-31,62.9
2016-11-30,64.94
2016-12-31,60.66
2017-01-31,60.16
2017-02-28,57.94
2017-03-31,56.38
2017-04-30,56.98
2017-05-31,56.52
2017-06-30,59.09
2017-07-31,59.54
2017-08-31,58.73
2017-09-30,58.02
2017-10-31,57.87
2017-11-30,58.33
