date,value
2025-02-01,65.49
2025-01-01,70.12
2024-12-01,68.51
2024-11-01,67.47
2024-10-01,66.7
2024-09-01,66.44
2024-08-01,74.08
2024-07-01,75.27
2024-06-01,80.32
2024-05-01,71.48
2024-04-01,79.53
2024-03-01,77.43
2024-02-01,74.59
2024-01-01,72.21
2023-12-01,59.7
2023-11-01,64.6
2023-10-01,75.8
2023-09-01,82.02
2023-08-01,71.12
2023-07-01,70.23
2023-06-01,57.47
2023-05-01,53.6
2023-04-01,62.2
2023-03-01,58.5
2023-02-01,60.27
2023-01-01,56.05
2022-12-01,56.28
2022-11-01,66.54
2022-10-01,75.04
2022-09-01,70.4
2022-08-01,78.14
2022-07-01,82.81
2022-06-01,90.99
2022-05-01,98.03
2022-04-01,79.41
2022-03-01,82.91
2022-02-01,94.28
2022-01-01,92.04
2021-12-01,76.8
2021-11-01,69.34
2021-10-01,82.1
2021-09-01,75.86
2021-08-01,70.88
2021-07-01,73.97
2021-06-01,74.91
2021-05-01,67.74
2021-04-01,65.69
2021-03-01,61.63
2021-02-01,64.92
2021-01-01,55.81
2020-12-01,50.97
2020-11-01,46.92
2020-10-01,37.12
2020-09-01,40.49
2020-08-01,45.1
2020-07-01,43.57
2020-06-01,44.16
2020-05-01,35.46
2020-04-01,18.78
2020-03-01,15.11
2020-02-01,48.86
2020-01-01,58.37
2019-12-01,66.27
2019-11-01,65.15
2019-10-01,60.15
2019-09-01,59.94
2019-08-01,62.09
2019-07-01,64.89
2019-06-01,66.27
2019-05-01,67.68
2019-04-01,73.09
2019-03-01,68.63
2019-02-01,64.73
2019-01-01,62.96
2018-12-01,50.62
2018-11-01,57.91
2018-10-01,73.29
2018-09-01,82.07
2018-08-01,76.89
2018-07-01,72.76
2018-06-01,76.44
2018-05-01,75.75
2018-04-01,73.17
2018-03-01,67.67
2018-02-01,63.83
2018-01-01,66.67
2017-12-01,66.73
2017-11-01,63.33
2017-10-01,61.15
2017-09-01,56.27
2017-08-01,51.69
2017-07-01,51.74
2017-06-01,46.08
2017-05-01,48.15
2017-04-01,49.36
2017-03-01,50.6
2017-02-01,52.31
2017-01-01,53.95
2016-12-01,53.46
2016-11-01,46.85
2016-10-01,44.85
2016-09-01,46.34
2016-08-01,44.31
2016-07-01,39.51
2016-06-01,46.85
2016-05-01,47.71
2016-04-01,44.34
2016-03-01,36.01
2016-02-01,33.97
2016-01-01,31.69
2015-12-01,35.16
2015-11-01,42.88
2015-10-01,46.4
2015-09-01,45.94
2015-08-01,47.07
2015-07-01,51.84
2015-06-01,60.26
2015-05-01,62.36
2015-04-01,63.1
2015-03-01,52.44
2015-02-01,60.49
2015-01-01,47.62
2014-12-01,53.42
2014-11-01,71.39
2014-10-01,83.32
2014-09-01,92.72
2014-08-01,100.37
2014-07-01,105.04
2014-06-01,109.28
2014-05-01,106.81
2014-04-01,107.68
2014-03-01,105.15
2014-02-01,108.13
2014-01-01,107.31
2013-12-01,108.75
2013-11-01,110.72
2013-10-01,106.48
2013-09-01,107.0
2013-08-01,115.77
2013-07-01,108.54
2013-06-01,102.3
2013-05-01,99.98
2013-04-01,101.39
2013-03-01,107.56
2013-02-01,109.31
2013-01-01,115.83
2012-12-01,109.6
2012-11-01,110.29
2012-10-01,109.45
2012-09-01,109.86
2012-08-01,113.68
2012-07-01,105.94
2012-06-01,93.42
2012-05-01,101.02
2012-04-01,117.41
2012-03-01,120.81
2012-02-01,121.18
2012-01-01,110.56
2011-12-01,105.84
2011-11-01,111.52
2011-10-01,108.63
2011-09-01,104.12
2011-08-01,116.08
2011-07-01,114.03
2011-06-01,109.96
2011-05-01,114.2
2011-04-01,122.99
2011-03-01,113.13
2011-02-01,110.47
2011-01-01,95.07
2010-12-01,91.68
2010-11-01,85.2
2010-10-01,80.92
2010-09-01,79.58
2010-08-01,75.41
